Tag,SAP Tag,SAP Description,P&ID TAG,P&ID Number,Datasheet Tag,Tier,LOD,Inst Type,Manufacturer,Model number,ManufSerialNo.
LX7710,Not in SAP,Not in SAP,LX7710,M7750 WFE Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
HE7706C,Not in SAP,Not in SAP,HE7706C,M7750 WFE Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
FX775015,Not in SAP,Not in SAP,FX775015,M7750 WFE Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
PRV775028,Not in SAP,Not in SAP,PRV775028,M7750 WFE Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
P5028,Not in SAP,Not in SAP,P5028,M7750 WFE Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
FCV777007,Not in SAP,Not in SAP,FCV777007,M7770 Feed Splitter Skid  ELD,FCV777007,2,LOD300,#NAME?,Unknown,Unknown,Unknown
FCV777008,Not in SAP,Not in SAP,FCV777008,M7770 Feed Splitter Skid  ELD,FCV777008,2,LOD300,#NAME?,Unknown,Unknown,Unknown
SD7709A,Not in SAP,Not in SAP,SD7709A,From Text,SD7709A,2,LOD300,#NAME?,Unknown,Unknown,Unknown
SD7720A,Not in SAP,Not in SAP,SD7720A,From Text,SD7720A,2,LOD300,#NAME?,Unknown,Unknown,Unknown
SD7720B,Not in SAP,Not in SAP,SD7720B,From Text,SD7720B,2,LOD300,#NAME?,Unknown,Unknown,Unknown
SD7721A,Not in SAP,Not in SAP,SD7721A,From Text,SD7721A,2,LOD300,#NAME?,Unknown,Unknown,Unknown
SD7721B,Not in SAP,Not in SAP,SD7721B,From Text,SD7721B,2,LOD300,#NAME?,Unknown,Unknown,Unknown
HE7750C,Not in SAP,Not in SAP,HE7750C,From Text,HE7750C,2,LOD300,#NAME?,Unknown,Unknown,Unknown
